Country,Time_Period,Unemployment_Rate
DEU,2018-06,3.3
DEU,2018-07,3.2
USA,1995-09,5.4
USA,1995-10,5.2
USA,1995-11,5.3
DEU,2014-10,4.5
DEU,2014-11,4.7
USA,2018-10,3.5
USA,2006-12,4.3
USA,2007-01,5
USA,2007-02,4.9
USA,2007-03,4.5
USA,2007-04,4.3
USA,1995-01,6.2
USA,1995-02,5.9
USA,1995-03,5.7
USA,1995-04,5.6
USA,2019-04,3.3
USA,2019-05,3.4
USA,1995-08,5.6
USA,2004-08,5.4
USA,2004-09,5.1
USA,2004-10,5.1
USA,2004-11,5.2
USA,2004-12,5.1
USA,2005-01,5.7
USA,2005-02,5.8
USA,2005-03,5.4
USA,2005-04,4.9
USA,2005-05,4.9
USA,2005-06,5.2
USA,2005-07,5.2
USA,2005-08,4.9
USA,2005-09,4.8
USA,2005-10,4.6
USA,2005-11,4.8
USA,2005-12,4.6
USA,2006-01,5.1
USA,2006-02,5.1
USA,2006-03,4.8
USA,2006-04,4.5
USA,2006-05,4.4
USA,2006-06,4.8
USA,1995-12,5.2
USA,2018-09,3.6
USA,1999-10,3.8
USA,1999-11,3.8
USA,1999-12,3.7
USA,2000-01,4.5
USA,2000-02,4.4
USA,2000-03,4.3
USA,2000-04,3.7
USA,2000-05,3.8
USA,2000-06,4.1
USA,2000-07,4.2
USA,2000-08,4.1
USA,2000-09,3.8
USA,2000-10,3.6
USA,2000-11,3.7
USA,2000-12,3.7
USA,2001-01,4.7
USA,2001-02,4.6
USA,2001-03,4.5
USA,2001-04,4.2
USA,2001-05,4.1
USA,2001-06,4.7
USA,2001-07,4.7
USA,2001-08,4.9
USA,2001-09,4.7
USA,2001-10,5
USA,2001-11,5.3
USA,2001-12,5.4
USA,2002-01,6.3
USA,2002-02,6.1
USA,2002-03,6.1
USA,2002-04,5.7
USA,2002-05,5.5
USA,2002-06,6
USA,2002-07,5.9
USA,2002-08,5.7
USA,2002-09,5.4
USA,2002-10,5.3
USA,2002-11,5.6
USA,2002-12,5.7
USA,2003-01,6.5
USA,2003-02,6.4
USA,2003-03,6.2
USA,2003-04,5.8
USA,2003-05,5.8
USA,2003-06,6.5
USA,2003-07,6.3
USA,2003-08,6
USA,2003-09,5.8
USA,2003-10,5.6
USA,2003-11,5.6
USA,2003-12,5.4
USA,1995-05,5.5
USA,1995-06,5.8
USA,1995-07,5.9
USA,2012-11,7.4
USA,2012-12,7.6
USA,2013-01,8.5
USA,2013-02,8.1
USA,2013-03,7.6
USA,2013-04,7.1
USA,2013-05,7.3
USA,2013-06,7.8
USA,2013-07,7.7
USA,2013-08,7.3
USA,2013-09,7
USA,2013-10,7
USA,2013-11,6.6
USA,2013-12,6.5
USA,2014-01,7
USA,2014-02,7
USA,2014-03,6.8
USA,2014-04,5.9
USA,2014-05,6.1
USA,2014-06,6.3
USA,2014-07,6.5
USA,2014-08,6.3
USA,2014-09,5.7
USA,2014-10,5.5
USA,2014-11,5.5
USA,2014-12,5.4
USA,2015-01,6.1
USA,2015-02,5.8
USA,2015-03,5.6
USA,2015-04,5.1
USA,2015-05,5.3
USA,2015-06,5.5
USA,2015-07,5.6
USA,2015-08,5.2
USA,2015-09,4.9
USA,2015-10,4.8
USA,2015-11,4.8
USA,2015-12,4.8
USA,2016-01,5.3
USA,2016-02,5.2
USA,2016-03,5.1
USA,2016-04,4.7
USA,2016-05,4.5
USA,2016-06,5.1
USA,2016-07,5.1
USA,2016-08,5
USA,2016-09,4.8
USA,2016-10,4.7
USA,2016-11,4.4
USA,2016-12,4.5
USA,2017-01,5.1
USA,2017-02,4.9
USA,2017-03,4.6
USA,2017-04,4.1
USA,2017-05,4.1
USA,2017-06,4.5
